--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82900;01/01/2000;0000;;29.6;;10.1;73.75;
82900;01/01/2000;1200;4.2;;22.4;;;
82900;02/01/2000;0000;;29.6;;7;71;
82900;02/01/2000;1200;3.1;;22.6;;;
82900;03/01/2000;0000;;28.7;;2.8;89.25;
82900;03/01/2000;1200;3.4;;24;;;
82900;04/01/2000;0000;;29.6;;3.7;77;
82900;04/01/2000;1200;16.2;;23;;;
82900;05/01/2000;0000;;28.9;;2.5;86.5;
82900;05/01/2000;1200;13.1;;22.8;;;
82900;06/01/2000;0000;;28.9;;4.2;89.75;
82900;06/01/2000;1200;27.3;;22.9;;;
82900;07/01/2000;0000;;27.2;;0.7;93.25;
82900;07/01/2000;1200;117;;22.4;;;
82900;08/01/2000;0000;;27.8;;0.3;85.75;
82900;08/01/2000;1200;25.2;;23;;;
82900;09/01/2000;0000;;29.4;;8.4;76;
82900;09/01/2000;1200;24.8;;24.4;;;
82900;10/01/2000;0000;;29.4;;9.3;68.5;
82900;10/01/2000;1200;4.6;;24;;;
82900;11/01/2000;0000;;29.4;;11.5;75.25;
82900;11/01/2000;1200;0;;21.6;;;
82900;12/01/2000;0000;;29.5;;10;73.25;
82900;12/01/2000;1200;0.3;;22.3;;;
82900;13/01/2000;0000;;29.8;;5.8;78;
82900;13/01/2000;1200;0;;22.8;;;
82900;14/01/2000;0000;;29.7;;4.8;84.5;
82900;14/01/2000;1200;2.4;;23.4;;;
82900;15/01/2000;0000;;30.3;;11;76.25;
82900;15/01/2000;1200;11.3;;24.7;;;
82900;16/01/2000;0000;;30;;9;72.75;
82900;16/01/2000;1200;0;;21.6;;;
82900;17/01/2000;0000;;29.9;;7;76;
82900;17/01/2000;1200;0;;23.4;;;
82900;18/01/2000;0000;;29.8;;6.7;74.75;
82900;18/01/2000;1200;12.5;;22.4;;;
82900;19/01/2000;0000;;30.2;;9.9;68.25;
82900;19/01/2000;1200;1.4;;23.3;;;
82900;20/01/2000;0000;;31.9;;11;73.75;
82900;20/01/2000;1200;0;;21;;;
82900;21/01/2000;0000;;31.9;;8;75;
82900;21/01/2000;1200;0;;23.2;;;
82900;22/01/2000;0000;;31;;6.4;71.75;
82900;22/01/2000;1200;0;;24.2;;;
82900;23/01/2000;0000;;30.2;;7.2;77.75;
82900;23/01/2000;1200;0;;22.7;;;
82900;24/01/2000;0000;;31.2;;10.3;64.75;
82900;24/01/2000;1200;0;;22.6;;;
82900;25/01/2000;0000;;31.5;;9.4;73;
82900;25/01/2000;1200;0;;22.4;;;
82900;26/01/2000;0000;;30.4;;9.8;75;
82900;26/01/2000;1200;4.3;;22.7;;;
82900;27/01/2000;0000;;30.6;;8.2;71.5;
82900;27/01/2000;1200;0;;23;;;
82900;28/01/2000;0000;;30.6;;9.5;72.5;
82900;28/01/2000;1200;0;;22.4;;;
82900;29/01/2000;0000;;30.8;;8.7;71.25;
82900;29/01/2000;1200;0;;22.8;;;
82900;30/01/2000;0000;;30.4;;8;81;
82900;30/01/2000;1200;0;;23;;;
82900;31/01/2000;0000;;30.1;;7.6;74;
82900;31/01/2000;1200;5.3;;22;;;
82900;01/02/2000;0000;;29.6;;6.2;75.5;
82900;01/02/2000;1200;7.7;;23;;;
82900;02/02/2000;0000;;31.6;;10.7;76;
82900;02/02/2000;1200;0;;22.8;;;
82900;03/02/2000;0000;;31.9;;10;75.75;
82900;03/02/2000;1200;0;;23.4;;;
82900;04/02/2000;0000;;32;;8.6;74.75;
82900;04/02/2000;1200;0;;23.4;;;
82900;05/02/2000;0000;;31.9;;10.5;73.5;
82900;05/02/2000;1200;0;;22.6;;;
82900;06/02/2000;0000;;30.4;;6.4;73.75;
82900;06/02/2000;1200;0;;23.4;;;
82900;07/02/2000;0000;;31.2;;11.1;71;
82900;07/02/2000;1200;1;;23.8;;;
82900;08/02/2000;0000;;30.2;;8.7;72.5;
82900;08/02/2000;1200;15.3;;23.6;;;
82900;09/02/2000;0000;;30.4;;7;76;
82900;09/02/2000;1200;0;;22.5;;;
82900;10/02/2000;0000;;30.6;;5.2;75;
82900;10/02/2000;1200;0.4;;24.6;;;
82900;11/02/2000;0000;;30.4;;10.7;69.75;
82900;11/02/2000;1200;0;;23.8;;;
82900;12/02/2000;0000;;30.8;;11;69.25;
82900;12/02/2000;1200;0;;21;;;
82900;13/02/2000;0000;;30.1;;7.7;79;
82900;13/02/2000;1200;0;;22.2;;;
82900;14/02/2000;0000;;30.2;;2;78.5;
82900;14/02/2000;1200;7;;23;;;
82900;15/02/2000;0000;;31.4;;6.5;83.75;
82900;15/02/2000;1200;0;;23;;;
82900;16/02/2000;0000;;29;;3.2;84.5;
82900;16/02/2000;1200;6;;23.7;;;
82900;17/02/2000;0000;;30.1;;10.2;78;
82900;17/02/2000;1200;9;;22.5;;;
82900;18/02/2000;0000;;30.8;;11.2;70;
82900;18/02/2000;1200;0;;26.4;;;
82900;19/02/2000;0000;;31.4;;7.9;72.25;
82900;19/02/2000;1200;0;;23.7;;;
82900;20/02/2000;0000;;28.5;;0;82.25;
82900;20/02/2000;1200;0.6;;24.4;;;
82900;21/02/2000;0000;;30.4;;9.3;76.5;
82900;21/02/2000;1200;1.1;;22.2;;;
82900;22/02/2000;0000;;28.9;;2.4;87;
82900;22/02/2000;1200;12.2;;23.3;;;
82900;23/02/2000;0000;;26;;0.4;92.75;
82900;23/02/2000;1200;6.2;;23.5;;;
82900;24/02/2000;0000;;29.9;;9.3;84;
82900;24/02/2000;1200;12.1;;22.6;;;
82900;25/02/2000;0000;;30.3;;4.8;78.75;
82900;25/02/2000;1200;0;;21.8;;;
82900;26/02/2000;0000;;29.8;;0.3;84.25;
82900;26/02/2000;1200;0;;23.2;;;
82900;27/02/2000;0000;;30.2;;10.5;71.75;
82900;27/02/2000;1200;9.3;;24.8;;;
82900;28/02/2000;0000;;30.4;;6.7;73;
82900;28/02/2000;1200;0;;22.7;;;
82900;29/02/2000;0000;;30.5;;6;70.25;
82900;29/02/2000;1200;0;;23;;;
82900;01/03/2000;0000;;30;;4.3;77.75;
82900;01/03/2000;1200;5.2;;22.8;;;
82900;02/03/2000;0000;;30.7;;8.6;72;
82900;02/03/2000;1200;1;;24.7;;;
82900;03/03/2000;0000;;29.8;;3.4;77.75;
82900;03/03/2000;1200;13;;22.9;;;
82900;04/03/2000;0000;;30.4;;7.5;73;
82900;04/03/2000;1200;1.7;;22.1;;;
82900;05/03/2000;0000;;30.2;;8.5;75;
82900;05/03/2000;1200;4.6;;23.2;;;
82900;06/03/2000;0000;;30.4;;9.6;71.5;
82900;06/03/2000;1200;0.1;;23.5;;;
82900;07/03/2000;0000;;29.5;;3;90.5;
82900;07/03/2000;1200;16;;23.6;;;
82900;08/03/2000;0000;;30.7;;8;76.75;
82900;08/03/2000;1200;0.9;;22.4;;;
82900;09/03/2000;0000;;30.4;;8.1;78;
