--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2015 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;
82900;31/01/2015;0000;65.4;
82900;28/02/2015;0000;56.2;
82900;31/03/2015;0000;341.2;
82900;30/04/2015;0000;74.6;
82900;31/05/2015;0000;178.9;
82900;30/06/2015;0000;460.5;
82900;31/07/2015;0000;446.3;
82900;31/08/2015;0000;116;
82900;30/09/2015;0000;35.1;
82900;31/10/2015;0000;16.6;
82900;30/11/2015;0000;30.6;
82900;31/12/2015;0000;91.8;
82900;31/01/2016;0000;124;
82900;29/02/2016;0000;70;
82900;31/03/2016;0000;268.7;
82900;30/04/2016;0000;292.4;
82900;31/05/2016;0000;478.9;
82900;30/06/2016;0000;148.5;
82900;31/07/2016;0000;110.3;
82900;31/08/2016;0000;57.5;
82900;30/09/2016;0000;57.4;
82900;31/10/2016;0000;14.1;
82900;30/11/2016;0000;17.8;
82900;31/12/2016;0000;68;
82900;31/01/2017;0000;28.7;
82900;28/02/2017;0000;21.1;
82900;31/03/2017;0000;156.2;
82900;30/04/2017;0000;289.9;
82900;31/05/2017;0000;399.4;
82900;30/06/2017;0000;489.8;
82900;31/07/2017;0000;490.5;
82900;31/08/2017;0000;112.1;
82900;30/09/2017;0000;84.1;
82900;31/10/2017;0000;63.1;
82900;30/11/2017;0000;14.8;
